dataset,task_type,fingerprint_type,split_method,run_label,model_name,hyperparameters,train_size,val_size,test_size,train_roc_auc,train_pr_auc,train_accuracy,train_mae,train_rmse,train_r2,val_roc_auc,val_pr_auc,val_accuracy,val_mae,val_rmse,val_r2,test_roc_auc,test_pr_auc,test_accuracy,test_mae,test_rmse,test_r2
bbbp,classification,atompair,bm_scaffold,deterministic,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988574954014,0.9999993049763692,0.9993606138107417,,,,0.9177356385945342,0.9804555844123725,0.9132653061224489,,,,0.924001924001924,0.9655789255515876,0.8051282051282052,,,
bbbp,classification,atompair,butina_atompair,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,0.9999999999999999,1.0,,,,0.911600669269381,0.9780956996103984,0.8979591836734694,,,,0.9031771132834964,0.9656587320522074,0.8205128205128205,,,
bbbp,classification,atompair,butina_atompair,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988886913229,0.9999992872619456,0.9993606138107417,,,,0.932046783625731,0.9890816128518489,0.9183673469387755,,,,0.9383350462487153,0.9740603021998264,0.8923076923076924,,,
bbbp,classification,atompair,butina_atompair,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988945952341,0.9999992836378588,0.9993606138107417,,,,0.9556207233626588,0.9909449932393513,0.923469387755102,,,,0.9235911443358252,0.9720571674975714,0.8256410256410256,,,
bbbp,classification,atompair,butina_atompair,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.8567003923188106,0.9667638049767406,0.8877551020408163,,,,0.9482173174872666,0.975671190691323,0.8205128205128205,,,
bbbp,classification,atompair,butina_atompair,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988826790674,0.9999992908586001,0.9993606138107417,,,,0.9015815548780488,0.9716194911814127,0.9285714285714286,,,,0.8754706831629909,0.9451247440523081,0.8153846153846154,,,
bbbp,classification,atompair,butina_maccs,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.999998951419254,0.9999992431982441,0.9993606138107417,,,,0.9021485676215857,0.9746656241912088,0.8163265306122449,,,,0.8469251336898396,0.9884527450207402,0.9487179487179487,,,
bbbp,classification,atompair,butina_maccs,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999989347990499,0.9999992561958883,0.9993606138107417,,,,0.8754163890739507,0.9669662391776938,0.8163265306122449,,,,0.854676710608914,0.9817505237050587,0.8974358974358975,,,
bbbp,classification,atompair,butina_maccs,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.99999894653452,0.9999992471330827,0.9993606138107417,,,,0.8786642238507663,0.9686291681637245,0.8010204081632653,,,,0.8764822134387352,0.9887112325750171,0.9384615384615385,,,
bbbp,classification,atompair,butina_maccs,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999989465345199,0.9999992471330829,0.9993606138107417,,,,0.859425463199048,0.9648901427063505,0.7908163265306123,,,,0.8677140255009107,0.9863359910705334,0.9333333333333333,,,
bbbp,classification,atompair,butina_maccs,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999989498004621,0.9999992445132777,0.9993606138107417,,,,0.8294953454189122,0.9344171388450402,0.8112244897959183,,,,0.8245320855614974,0.9870976924755881,0.9487179487179487,,,
bbbp,classification,atompair,butina_morgan,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988744898626,0.9999992956119442,0.9993606138107417,,,,0.8915221291866028,0.9599827048424144,0.8928571428571429,,,,0.946417820590006,0.9847829047244845,0.8564102564102564,,,
bbbp,classification,atompair,butina_morgan,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9183406826718928,0.974464810548564,0.8928571428571429,,,,0.9401236342725704,0.9809919952316861,0.882051282051282,,,
bbbp,classification,atompair,butina_morgan,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988826790674,0.9999992908586001,0.9993606138107417,,,,0.8879811183732753,0.9683033728634188,0.923469387755102,,,,0.8742758620689655,0.9503288791069155,0.8205128205128205,,,
bbbp,classification,atompair,butina_morgan,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9529487362558904,0.9846173247581353,0.8979591836734694,,,,0.8603622004357299,0.9465561788800219,0.8256410256410256,,,
bbbp,classification,atompair,butina_morgan,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988464377999,0.999999310734619,0.9993606138107417,,,,0.9342948717948718,0.9768847896989896,0.8316326530612245,,,,0.9208135308918087,0.9663817726347247,0.8461538461538461,,,
bbbp,classification,atompair,random,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999999999999999,0.9999999999999999,1.0,,,,0.9040865384615384,0.9641675435461526,0.8928571428571429,,,,0.9618671926364234,0.9906794679693351,0.8923076923076924,,,
bbbp,classification,atompair,random,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988886913229,0.9999992872619456,0.9993606138107417,,,,0.9015942028985507,0.961812001332502,0.8877551020408163,,,,0.9404464285714285,0.9862079136116181,0.9128205128205128,,,
bbbp,classification,atompair,random,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988926391509,0.9999992848489531,0.9993606138107417,,,,0.9301337529504328,0.9812943941467143,0.8826530612244898,,,,0.9599396580623533,0.9891845851418679,0.9333333333333333,,,
bbbp,classification,atompair,random,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.9339462702138758,0.9713553879525625,0.8724489795918368,,,,0.9428721174004193,0.9842780717494878,0.9282051282051282,,,
bbbp,classification,atompair,random,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999988618230408,0.999999302652848,0.9993606138107417,,,,0.9040661719233148,0.9686480456887282,0.8928571428571429,,,,0.947754168908015,0.977057956832591,0.8974358974358975,,,
bbbp,classification,maccs,bm_scaffold,deterministic,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9996583911250243,0.9999023183511754,0.9968030690537084,,,,0.9261015058561071,0.9798420841470044,0.9081632653061225,,,,0.9264670514670514,0.9568315999956647,0.8512820512820513,,,
bbbp,classification,maccs,butina_atompair,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995729084160337,0.9998776877861868,0.9974424552429667,,,,0.8970998326826547,0.9707881672041008,0.8826530612244898,,,,0.9084962622196665,0.9650231605022899,0.8512820512820513,,,
bbbp,classification,maccs,butina_atompair,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995388068990043,0.999867550252324,0.9961636828644501,,,,0.9451461988304093,0.991287160529823,0.9387755102040817,,,,0.9430883864337103,0.9760024366477813,0.8923076923076924,,,
