dataset,task_type,fingerprint_type,split_method,model_name,hyperparameters,run_count,train_size_mean,val_size_mean,test_size_mean,train_roc_auc_mean,train_pr_auc_mean,train_accuracy_mean,train_mae_mean,train_rmse_mean,train_r2_mean,val_roc_auc_mean,val_pr_auc_mean,val_accuracy_mean,val_mae_mean,val_rmse_mean,val_r2_mean,test_roc_auc_mean,test_pr_auc_mean,test_accuracy_mean,test_mae_mean,test_rmse_mean,test_r2_mean,train_size_std,val_size_std,test_size_std,train_roc_auc_std,train_pr_auc_std,train_accuracy_std,train_mae_std,train_rmse_std,train_r2_std,val_roc_auc_std,val_pr_auc_std,val_accuracy_std,val_mae_std,val_rmse_std,val_r2_std,test_roc_auc_std,test_pr_auc_std,test_accuracy_std,test_mae_std,test_rmse_std,test_r2_std
bbbp,classification,atompair,bm_scaffold,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,1564.0,196.0,195.0,0.9999988574954014,0.9999993049763692,0.9993606138107417,,,,0.9177356385945342,0.9804555844123725,0.9132653061224489,,,,0.924001924001924,0.9655789255515876,0.8051282051282052,,,,,,,,,,,,,,,,,,,,,,,,
bbbp,classification,atompair,butina_atompair,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.9999993331931248,0.9999995723516809,0.9996163682864451,,,,0.9115100246909261,0.9793011203719504,0.9112244897959183,,,,0.917758260903659,0.9665144272986472,0.834871794871795,,,,0.0,0.0,0.0,6.087231914256303e-07,3.9039606567344426e-07,0.00035020623881401456,,,,0.03698036889650358,0.010593424281763327,0.017526085752364983,,,,0.029094801293904682,0.012547502505478614,0.03231176205543257,,,
bbbp,classification,atompair,butina_maccs,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.9999989458175612,0.999999247634715,0.9993606138107417,,,,0.8690299978328525,0.9619136626168036,0.8071428571428572,,,,0.8540660337599795,0.9864696369693874,0.9333333333333333,,,,0.0,0.0,0.0,6.5130275863940815e-09,5.079926254171749e-09,0.0,,,,0.026859261884510367,0.015796813934335865,0.011060960912591206,,,,0.02007717775340298,0.002812463926401181,0.021144131413423875,,,
bbbp,classification,atompair,butina_morgan,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.999999320721346,0.9999995794410326,0.9996163682864451,,,,0.9170175076565066,0.9728506005423044,0.8877551020408163,,,,0.908398609651816,0.9658083461155667,0.8461538461538461,,,,0.0,0.0,0.0,6.202393562690578e-07,3.8398619722406495e-07,0.0003502062388140399,,,,0.027768856288489643,0.009268173689763811,0.03384311010566734,,,,0.038980528376111996,0.017328919001158627,0.024859896704699135,,,
bbbp,classification,atompair,random,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.999999328630703,0.9999995749527493,0.9996163682864451,,,,0.9147653872895425,0.9694554745333319,0.8857142857142858,,,,0.9505759131157279,0.9854815990609801,0.9128205128205128,,,,0.0,0.0,0.0,6.129882036003426e-07,3.8807337514443327e-07,0.00035020623881401456,,,,0.015859414024874962,0.007596159007168956,0.008537347209531419,,,,0.009811853527368021,0.005330659112895184,0.018130943107347367,,,
bbbp,classification,maccs,bm_scaffold,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,1564.0,196.0,195.0,0.9996583911250243,0.9999023183511754,0.9968030690537084,,,,0.9261015058561071,0.9798420841470044,0.9081632653061225,,,,0.9264670514670514,0.9568315999956647,0.8512820512820513,,,,,,,,,,,,,,,,,,,,,,,,
bbbp,classification,maccs,butina_atompair,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.9995447752502322,0.9998699659406055,0.9966751918158568,,,,0.9173362861627569,0.9805674305482984,0.9193877551020408,,,,0.9207078996952381,0.9689377193240011,0.8533333333333333,,,,0.0,0.0,0.0,1.8963955025203733e-05,4.78858168666819e-06,0.0005349488660703699,,,,0.03541881126488679,0.010464574569630883,0.02917546623570568,,,,0.015927575143605918,0.004365357723854873,0.023105395540654,,,
bbbp,classification,maccs,butina_maccs,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.9999175758061076,0.9999685045988528,0.9968030690537084,,,,0.8779930205113902,0.9565200767398876,0.8765306122448979,,,,0.8802950644073213,0.9919353561592501,0.9353846153846155,,,,0.0,0.0,0.0,5.864409283995017e-06,2.1584857895366087e-06,0.0,,,,0.02225862078061369,0.013195251428623933,0.007567549476628252,,,,0.017842985294755368,0.002187347411795752,0.021635921138183547,,,
bbbp,classification,maccs,butina_morgan,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.9995240610281101,0.9998681587630154,0.9968030690537084,,,,0.9288439271275601,0.9778183964756707,0.8857142857142858,,,,0.8668840516449177,0.9480932349943284,0.8615384615384615,,,,0.0,0.0,0.0,6.778934448747011e-05,1.671704194598562e-05,0.0006393861892582999,,,,0.011971656632996298,0.004554981211793278,0.021221055452127963,,,,0.03512260133256607,0.02033396429852619,0.020830867704194758,,,
bbbp,classification,maccs,random,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,1564.0,196.0,195.0,0.9996613408675857,0.9999025332595174,0.996547314578005,,,,0.9141008545645336,0.9683763624916836,0.8806122448979592,,,,0.9550789589955622,0.9865986030765758,0.9128205128205128,,,,0.0,0.0,0.0,0.0001741397030016935,4.725717412481419e-05,0.0005718843932224423,,,,0.019396429025182182,0.0065304943931080595,0.009945708515111212,,,,0.015130883661639612,0.008074256134179761,0.01986145305747395,,,
